customer_id,purchase_frequency,avg_order_value,days_since_last_purchase,product_category,region,cluster_id,cluster_size,customer_score
CUST_0000,39,227.69668317900636,346,Books,EU,4,25,17.84473388515346
CUST_0001,29,182.06967862311714,147,Home,LATAM,3,20,30.064017255047432
CUST_0002,15,56.335920221788,148,Electronics,US,0,22,24.004624199021528
CUST_0003,43,139.4790818399623,352,Home,APAC,4,25,18.68693039620482
CUST_0004,8,370.1038787368925,199,Sports,US,4,25,17.954147252649033
CUST_0005,21,405.5789932390425,308,Sports,EU,0,22,14.301668486566443
CUST_0006,39,322.68198865145513,128,Electronics,EU,3,20,36.04749802074889
CUST_0007,19,466.835395331007,39,Books,EU,1,15,35.79502673393823
CUST_0008,23,342.984661475875,338,Clothing,LATAM,4,25,12.448132066619408
CUST_0009,11,461.73185399470134,360,Electronics,US,0,22,6.196154466093693
CUST_0010,11,432.51736000540967,129,Clothing,LATAM,2,18,25.094812353988832
CUST_0011,24,252.25280336219151,267,Clothing,LATAM,0,22,18.41155293063452
CUST_0012,36,92.9345524206851,151,Books,EU,2,18,32.26784475315247
CUST_0013,40,216.86821348921987,298,Clothing,EU,3,20,22.157453955536152
CUST_0014,24,350.97856369862325,99,Clothing,LATAM,1,15,32.51594938972601
CUST_0015,3,349.6650604778735,263,Books,US,0,22,10.632556825269237
CUST_0016,22,316.0840044684772,252,Clothing,APAC,4,25,19.035923246282145
CUST_0017,2,173.62480684552887,144,Clothing,LATAM,3,20,19.48525798218042
CUST_0018,24,302.55954163146555,346,Clothing,US,0,22,12.069322460510836
CUST_0019,44,222.31709363920544,112,Electronics,EU,4,25,39.06147182886282
CUST_0020,30,487.2704429250967,60,Electronics,EU,0,22,38.53030447946022
CUST_0021,38,432.01122091973775,2,Electronics,US,2,18,46.33165010111537
CUST_0022,2,374.77828452419294,304,Books,APAC,0,22,6.938033483709566
CUST_0023,21,156.19321388703008,254,Sports,EU,0,22,17.991867312893966
CUST_0024,33,165.2307452425958,140,Clothing,EU,0,22,32.1888429206593
CUST_0025,12,68.1951152922941,37,Clothing,EU,3,20,31.963489455465925
CUST_0026,22,369.7983003586043,160,Books,US,0,22,26.758709969568965
CUST_0027,44,99.9008693653241,9,Clothing,LATAM,4,25,47.15997658069871
CUST_0028,25,247.70142583959654,233,Electronics,EU,2,18,21.59241934601194
CUST_0029,49,140.7736410509283,99,Sports,LATAM,2,18,41.885334621782924
CUST_0030,27,453.09361805308373,147,Home,APAC,0,22,30.077089073337334
CUST_0031,42,263.9166004319503,304,Clothing,EU,3,20,22.605448431432837
CUST_0032,28,303.4740073893727,208,Electronics,EU,3,20,25.014531611209215
CUST_0033,16,362.9822388917574,131,Home,APAC,4,25,26.721823429004036
CUST_0034,15,112.69915448264406,152,Sports,EU,0,22,23.844946778516423
CUST_0035,47,321.98782067501776,54,Home,LATAM,2,18,45.32760729764149
CUST_0036,44,292.9284910857529,120,Electronics,US,3,20,38.61577177462712
CUST_0037,3,141.37755113064622,161,Home,LATAM,0,22,18.39125594106317
CUST_0038,37,474.2841067510915,116,Books,US,3,20,36.6886057449108
CUST_0039,7,319.4894599198412,75,Home,US,3,20,27.59408481811569
CUST_0040,21,362.65321986786705,113,Clothing,LATAM,2,18,30.200288426726885
CUST_0041,9,446.210527556866,104,Clothing,LATAM,1,15,26.390686377191145
CUST_0042,39,330.95932166020697,340,Books,LATAM,4,25,18.647672485528567
CUST_0043,18,183.03515862697128,254,Electronics,LATAM,4,25,16.87239314711379
